raw,doi_sample,container_title,issn,publisher,venue_key,norm_raw,norm_key
2024 Second International Conference on Advances in Information Technology (ICAIT),10.1109/ICAIT61638.2024.10690548,2024 Second International Conference on Advances in Information Technology (ICAIT),,IEEE,2024 second international conference on advances in information technology  icait,2024 second international conference on advances in information technology,2024 second international conference on advances in information technology icait
"2024 International Conference on Innovative Computing, Intelligent Communication and Smart Electrical Systems (ICSES)",10.1109/ICSES63760.2024.10910483,"2024 International Conference on Innovative Computing, Intelligent Communication and Smart Electrical Systems (ICSES)",,IEEE,2024 international conference on innovative computing  intelligent communication and smart electrical systems  icses,2024 international conference on innovative computing intelligent communication and smart electrical systems,2024 international conference on innovative computing intelligent communication and smart electrical systems icses
IEEE Communications Letters,10.1109/LCOMM.2024.3365158,IEEE Communications Letters,1089-7798,Institute of Electrical and Electronics Engineers (IEEE),ISSN:1089-7798,ieee communications letters,issn 1089 7798
"ICASSP 2024 - 2024 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",10.1109/ICASSP48485.2024.10448434,"ICASSP 2024 - 2024 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,IEEE,icassp 2024 2024 ieee international conference on acoustics speech and signal processing,icassp 2024 2024 ieee international conference on acoustics speech and signal processing,icassp 2024 2024 ieee international conference on acoustics speech and signal processing
2023 15th International Conference on Knowledge and Smart Technology (KST),10.1109/KST57286.2023.10086829,2023 15th International Conference on Knowledge and Smart Technology (KST),,IEEE,2023 15th international conference on knowledge and smart technology  kst,2023 15th international conference on knowledge and smart technology,2023 15th international conference on knowledge and smart technology kst
"2025 International Conference on Artificial Intelligence, Computer, Data Sciences and Applications (ACDSA)",10.1109/ACDSA65407.2025.11166628,"2025 International Conference on Artificial Intelligence, Computer, Data Sciences and Applications (ACDSA)",,IEEE,2025 international conference on artificial intelligence  computer  data sciences and applications  acdsa,2025 international conference on artificial intelligence computer data sciences and applications,2025 international conference on artificial intelligence computer data sciences and applications acdsa
2024 3rd International Conference for Innovation in Technology (INOCON),10.1109/INOCON60754.2024.10511483,2024 3rd International Conference for Innovation in Technology (INOCON),,IEEE,2024 3rd international conference for innovation in technology  inocon,2024 3rd international conference for innovation in technology,2024 3rd international conference for innovation in technology inocon
2021 2nd International Conference on Big Data \& Artificial Intelligence \& Software Engineering (ICBASE),10.1109/ICBASE53849.2021.00076,2021 2nd International Conference on Big Data &amp; Artificial Intelligence &amp; Software Engineering (ICBASE),,IEEE,2021 2nd international conference on big data  amp  artificial intelligence  amp  software engineering  icbase,2021 2nd international conference on big data artificial intelligence software engineering,2021 2nd international conference on big data amp artificial intelligence amp software engineering icbase
2025 IEEE Conference on Artificial Intelligence (CAI),10.1109/CAI64502.2025.00120,2025 IEEE Conference on Artificial Intelligence (CAI),,IEEE,2025 ieee conference on artificial intelligence,2025 ieee conference on artificial intelligence,2025 ieee conference on artificial intelligence
2024 International Conference on Consumer Electronics - Taiwan (ICCE-Taiwan),10.1109/ICCE-Taiwan62264.2024.10674524,2024 International Conference on Consumer Electronics - Taiwan (ICCE-Taiwan),,IEEE,2024 international conference on consumer electronics   taiwan  icce taiwan,2024 international conference on consumer electronics taiwan,2024 international conference on consumer electronics taiwan icce taiwan
